text,dominant_distortion,secondary_distortion
You're either with me 100% or you're against me.,All-or-Nothing Thinking,
I am a bad friend.,Labeling,
It rained on the trip; I ruined the vacation.,Personalization,
"My partner is great, but he forgot the milk, so he doesn't care, and he's probably seeing someone else.",Mental Filter,Jumping to Conclusions
I feel self-conscious about my new haircut.,No Distortion,
"I feel guilty, so I must be bad.",Emotional Reasoning,
My wife is quiet; I annoyed her.,Personalization,
"Every time I try to help, I make things worse.",Overgeneralization,
I should always be productive.,Should Statements,
I'm swamped with chores and don't know where to start.,No Distortion,
"I have a headache; it's a tumor, and I'm weak for being scared.",Jumping to Conclusions,Labeling
I burned the toast; I ruin everything in the kitchen.,Overgeneralization,
"I feel stupid, so I am an idiot, and I'll fail the exam.",Emotional Reasoning,Jumping to Conclusions
I should have saved more money.,Should Statements,
"I tripped; everyone hates me, and I made a fool of myself.",Magnification or Minimization,Personalization
"I spilled water; the floor is ruined, and this is a catastrophe.",Magnification or Minimization,Jumping to Conclusions
Nobody ever invites me to lunch.,Overgeneralization,
I must please everyone I meet.,Should Statements,
"I tripped; everyone hates me, and I'm a clumsy fool.",Magnification or Minimization,Labeling
"I didn't win gold, so I'm a loser, because I feel so disappointed in myself.",Magnification or Minimization,Emotional Reasoning
"We had a nice walk, but it rained at the end, so the day was awful.",Mental Filter,
I forgot to lock the door; I am completely irresponsible.,Magnification or Minimization,
"It rained on my wedding; I jinxed it, and I'm ignoring the happy ceremony.",Personalization,Mental Filter
"I should be thinner, and since I'm not, I'm a whale.",Should Statements,Labeling
"I feel bored, so life is dull, and this boredom is killing me.",Emotional Reasoning,Magnification or Minimization
"I saved $20, but that's nothing.",Disqualifying the Positive,
"If the house isn't spotless, it's a pigsty, and I should keep it clean.",All-or-Nothing Thinking,Should Statements
"She said 'I'll try', which means 'no'.",Jumping to Conclusions,
I am a fake.,Labeling,
I gained an ounce; I'm a whale.,Magnification or Minimization,
My wife is sad; I hurt her.,Personalization,
"Unless I get straight As, I am an academic failure.",All-or-Nothing Thinking,
My son failed; I'm a bad dad.,Personalization,
"It rained today, so it always rains on my days off, and the weather should be nice.",Overgeneralization,Should Statements
I am a burden.,Labeling,
"I got a ticket, so I'm always in trouble, and I'm going to rot in jail.",Overgeneralization,Magnification or Minimization
"I lost my wallet, so I always lose everything, and I'm an irresponsible idiot.",Overgeneralization,Labeling
He didn't wave back; he is mad at me.,Jumping to Conclusions,
"I stumbled, so I am always clumsy, and I'm an oaf.",Overgeneralization,Labeling
"I feel anxious, so there must be a threat nearby.",Emotional Reasoning,
"I feel angry, so you must have treated me unfairly.",Emotional Reasoning,
It rained on the picnic; I chose the wrong day.,Personalization,
"I am a loser, and I'm dragging my team down.",Labeling,Personalization
"I'm either a genius or an idiot, and my mistake embarrassed the whole department.",All-or-Nothing Thinking,Personalization
"She said 'maybe', which definitely means 'no'.",Jumping to Conclusions,
"I completed the puzzle, but it was for kids.",Disqualifying the Positive,
"I finished the puzzle, but it was an easy one.",Disqualifying the Positive,
"I feel overwhelmed, so the task is impossible and I should give up.",Emotional Reasoning,All-or-Nothing Thinking
"I finished the task, but it was easy, so it doesn't count, and I'm ignoring the effort it took.",Disqualifying the Positive,Mental Filter
My husband is tired; I work him too hard.,Personalization,
"The store is closed; I caused this, and I'm irresponsible.",Personalization,Labeling
I burned the rice; I can't cook anything right.,Overgeneralization,
Everyone is always rude to me.,Overgeneralization,
I am drained from working a double shift.,No Distortion,
All politicians are corrupt.,Overgeneralization,
It's total victory or absolute defeat.,All-or-Nothing Thinking,
"The painting isn't perfect, so I might as well throw it in the trash.",All-or-Nothing Thinking,
"I see one weed in the garden, so the whole yard looks neglected.",Mental Filter,
I must never disappoint anyone.,Should Statements,
I am grieving the end of my favorite TV show; it feels like losing a friend.,No Distortion,
"My performance was trash because I stuttered, and I humiliated my coach.",All-or-Nothing Thinking,Personalization
"I should be perfect, and since I'm not, I'm a failure.",Should Statements,Labeling
"We had a nice walk, but it was humid, so it was miserable, and I'm going to get heatstroke.",Mental Filter,Jumping to Conclusions
"My vacation was perfect, except for the flight delay, which ruined everything.",Mental Filter,
"She's whispering, so she's gossiping about me, and everyone always talks behind my back.",Jumping to Conclusions,Overgeneralization
I am a chicken.,Labeling,
I got a C; my GPA is destroyed and I'll never get a job.,Magnification or Minimization,All-or-Nothing Thinking
I am weak.,Labeling,
"I am a slob, and my house is a disaster zone.",Labeling,Magnification or Minimization
My son failed; I'm a bad dad.,Personalization,
The dinner burned; I ruin everything I touch.,Personalization,
"They laughed, but they laugh at everything.",Disqualifying the Positive,
I feel secluded working the night shift while everyone sleeps.,No Distortion,
"Unless I'm perfect, I'm nothing.",All-or-Nothing Thinking,
"The boss called me in, so I'm fired, and I've let down my team.",Jumping to Conclusions,Personalization
"It rained today, so it always rains on my days off, and my weekend is ruined before it starts.",Overgeneralization,Jumping to Conclusions
I am a mess.,Labeling,
"They clapped, but they pitied me, and I'm ignoring their smiles.",Disqualifying the Positive,Mental Filter
"The dinner burned; I ruin everything, and I ought to pay attention.",Personalization,Should Statements
"I see a blemish on my face, so I look completely hideous.",Mental Filter,All-or-Nothing Thinking
My day was productive until I spilt water; now the day is a waste.,Mental Filter,
"Unless everyone likes me, I'm worthless, and I'm a social pariah.",All-or-Nothing Thinking,Labeling
"I feel anxious, so the situation is completely dangerous.",Emotional Reasoning,All-or-Nothing Thinking
I'm feeling really demoralized because the project funding was cut.,No Distortion,
My son failed his test; it's my fault for not tutoring him.,Personalization,
"I should have known better, but I didn't, and I'm always naive.",Should Statements,Overgeneralization
"I got the job, but they were desperate, so I'm unhireable, and this job means nothing.",Disqualifying the Positive,Magnification or Minimization
I'm stressed about the upcoming exams; there is so much to study.,No Distortion,
My daughter cried; I'm a bad father.,Personalization,
I'm buried under a mountain of laundry and chores.,No Distortion,
"If I'm not the best, I'm the worst, because I feel like such a loser compared to them.",All-or-Nothing Thinking,Emotional Reasoning
I'll never get out of debt.,Jumping to Conclusions,
"If I go, nobody will talk to me, because I feel so invisible.",Jumping to Conclusions,Emotional Reasoning
"I fixed the car, but it was an easy fix.",Disqualifying the Positive,
All salespeople are scammers.,Overgeneralization,
I feel isolated living alone during the holidays.,No Distortion,
I should have studied harder.,Should Statements,
"I feel angry, so you are abusive.",Emotional Reasoning,
"The project has a flaw, so the whole thing is garbage.",All-or-Nothing Thinking,
"I should be perfect, or else I am a failure.",Should Statements,All-or-Nothing Thinking
"The store is closed; I caused this, and it's a tragedy.",Personalization,Magnification or Minimization
"I feel lonely, so nobody loves me, and my isolation is total.",Emotional Reasoning,Magnification or Minimization
"She said 'maybe', which means 'no'.",Jumping to Conclusions,
All mechanics are crooks.,Overgeneralization,
I am a bad father.,Labeling,
"If I don't get the gold medal, I'm a complete failure.",All-or-Nothing Thinking,
"Unless everyone likes me, I'm worthless, and they're probably all laughing at me right now.",All-or-Nothing Thinking,Jumping to Conclusions
My day was perfect until I spilt tea; now the whole day is wasted.,Mental Filter,
I am spent after that intense workout session.,No Distortion,
"I finished the project, but it was easy, so my contribution means nothing.",Disqualifying the Positive,All-or-Nothing Thinking
The boss is quiet; he's going to fire me.,Jumping to Conclusions,
"Unless everyone loves the idea, it's garbage, because nobody ever likes what I do.",All-or-Nothing Thinking,Overgeneralization
"I won the award, but it was just dumb luck.",Disqualifying the Positive,
"I feel ashamed, so I have done something shameful.",Emotional Reasoning,
"I look okay, but I have a pimple, so I'm ugly, and my skin should be clear.",Mental Filter,Should Statements
I burned the garlic; I ruin every meal.,Overgeneralization,
"It rained on my wedding; I jinxed it, and I'm a curse.",Personalization,Labeling
I feel insecure about my accent when I speak in public.,No Distortion,
"He was rude, so everyone in this city is mean, and I'm ignoring the nice lady who held the door.",Overgeneralization,Mental Filter
"She said I'm smart, but she's just being nice, and she secretly thinks I'm incompetent.",Disqualifying the Positive,Jumping to Conclusions
I am a jerk.,Labeling,
I am a burden.,Labeling,
"I got the job, but they were desperate, and I'm unqualified.",Disqualifying the Positive,Labeling
"My kids are healthy, but my son got a C, so I'm a bad mom.",Mental Filter,
"She's crying; I said something wrong, and I always hurt people's feelings.",Personalization,Overgeneralization
"I have a headache; it's a tumor, and I'm ignoring that I'm dehydrated.",Jumping to Conclusions,Mental Filter
"I feel guilty, so I am guilty.",Emotional Reasoning,
"I am a loser, and I never win at anything in life.",Labeling,Overgeneralization
"The party was fun, but the food was cold, so it sucked.",Mental Filter,
"I fixed the sink, but I needed a manual, so I'm incompetent, and I should know how to fix things.",Disqualifying the Positive,Should Statements
I'm feeling really disheartened about the election results.,No Distortion,
"I have a pimple; I look like a monster, because I feel so disgusting.",Magnification or Minimization,Emotional Reasoning
"I ought to be rich, and being comfortable doesn't count as success.",Should Statements,Disqualifying the Positive
I am a failure.,Labeling,
I ought to have a degree by now.,Should Statements,
The power went out; I used too much energy.,Personalization,
I feel uneasy about the political situation in the news.,No Distortion,
"I was late; I've destroyed my reputation, because I feel so ashamed.",Magnification or Minimization,Emotional Reasoning
I failed one quiz; I'll never pass a test again.,Overgeneralization,
"I feel angry, so you are a villain.",Emotional Reasoning,
I feel apprehensive about the changes happening at my company.,No Distortion,
"I'm either a genius or an idiot, and since I made a mistake, everyone knows I'm a fraud.",All-or-Nothing Thinking,Jumping to Conclusions
"If the house isn't spotless, it's a pigsty, and cleaning the kitchen doesn't count if the bathroom is messy.",All-or-Nothing Thinking,Disqualifying the Positive
"She's crying; I hurt her, and I'm a monster.",Personalization,Labeling
I am a jerk.,Labeling,
"The soup was tasty, but cold, so I hated it.",Mental Filter,
I spilled coffee; my life is a mess.,Magnification or Minimization,
I feel isolated living in the suburbs without a car.,No Distortion,
"I saved money, but not enough, so I'm poor, and I'm failing to provide for my family.",Disqualifying the Positive,Personalization
My daughter fell; I'm a negligent mother.,Personalization,
"He was rude, so everyone is mean, and humanity is doomed.",Overgeneralization,Magnification or Minimization
"People should be on time, because I feel disrespected when they're late.",Should Statements,Emotional Reasoning
"I saved $50, but I still have debt.",Disqualifying the Positive,
I'm annoyed that the internet keeps cutting out while I'm trying to work.,No Distortion,
"I am a toxic person, and I destroy every relationship I have.",Labeling,Overgeneralization
"I feel bored, so this is a complete waste of time.",Emotional Reasoning,All-or-Nothing Thinking
I lost a dollar; I'm going to be broke.,Magnification or Minimization,
"I look good, but it's the makeup, so I'm naturally ugly.",Disqualifying the Positive,Labeling
It's perfection or bust.,All-or-Nothing Thinking,
"I failed the quiz, so I'll never learn, and I'm a dunce.",Overgeneralization,Labeling
"I am a slob, and my house is always a disaster.",Labeling,Overgeneralization
"I got the job, but only because nobody else applied.",Disqualifying the Positive,
I am a fraud.,Labeling,
I feel a lump; it's definitely cancer and I'm going to die.,Jumping to Conclusions,All-or-Nothing Thinking
"He loves me, but he doesn't know the real me, so the relationship is a lie.",Disqualifying the Positive,All-or-Nothing Thinking
"It's either a huge success or a disaster, and I know it will be a disaster.",All-or-Nothing Thinking,Jumping to Conclusions
I spilled wine; the rug is destroyed.,Magnification or Minimization,
"My parents divorced because of me, and I destroy every family dynamic.",Personalization,Overgeneralization
I regret spending so much money on takeout this month.,No Distortion,
"I passed the certification, but I missed one question, so I barely scraped by.",Mental Filter,
"I feel stupid, so I am dumb.",Emotional Reasoning,
You're either my best friend or you're dead to me.,All-or-Nothing Thinking,
"The weather is nice, but it's humid, so it's miserable, and every day is a struggle.",Mental Filter,Overgeneralization
I am a coward.,Labeling,
"I have a pimple; I look like a monster, and I never look good.",Magnification or Minimization,Overgeneralization
"We had a lovely vacation, but it rained on the last day, so the trip was a waste.",Mental Filter,
Life should be fair.,Should Statements,
"I feel hopeless, so there is no hope.",Emotional Reasoning,
I feel melancholy about the end of summer; the days are getting shorter.,No Distortion,
"It rained on my wedding; I jinxed it, and I should have picked a different date.",Personalization,Should Statements
I'm bogged down by administrative tasks and can't do my real work.,No Distortion,
I lost my keys again; I mess everything up.,Overgeneralization,
I stumbled on one word; I ruined the entire presentation.,All-or-Nothing Thinking,
"They clapped, but they pitied me, and I'm pathetic.",Disqualifying the Positive,Labeling
"I lost my wallet, so I always lose everything, and someone has definitely stolen my identity by now.",Overgeneralization,Jumping to Conclusions
I am worried about my blood pressure results; I hope they aren't too high.,No Distortion,
"She yawned, so I'm annoying her, and I'm a massive burden.",Jumping to Conclusions,Magnification or Minimization
"I got the job, but they were desperate, and I'm taking a spot from someone qualified.",Disqualifying the Positive,Personalization
"My day was productive, but I spilled tea, so it was a waste.",Mental Filter,
It’s just a PhD; it’s not that big of a deal.,Magnification or Minimization,
I'll never succeed in this industry.,Jumping to Conclusions,
My daughter struggled in math; I'm a bad teacher.,Personalization,
"I stumbled, so I'm always clumsy, and I should watch where I'm going.",Overgeneralization,Should Statements
"I spilled water; the floor is ruined, and the landlord will evict me.",Magnification or Minimization,Jumping to Conclusions
Nobody ever helps me with the housework.,Overgeneralization,
"I should be thinner, and being healthy doesn't matter if I'm not skinny.",Should Statements,Disqualifying the Positive
I'll never get married.,Jumping to Conclusions,
"I got a ticket; I always get into trouble, so I'm a criminal.",Overgeneralization,All-or-Nothing Thinking
"I finished the task, but it was easy, so it doesn't count, and I'm lazy.",Disqualifying the Positive,Labeling
"The report has a typo, so it's garbage.",All-or-Nothing Thinking,
"I got the award, but they give it to everyone.",Disqualifying the Positive,
"I am a failure, and this setback is the final nail in my coffin.",Labeling,Magnification or Minimization
"I feel lethargic, so I am lazy.",Emotional Reasoning,
"She said I'm talented, but she's just being supportive.",Disqualifying the Positive,
It's frustrating when my internet connection drops during important calls.,No Distortion,
"I must never mess up, because I feel so ashamed of errors.",Should Statements,Emotional Reasoning
I ought to have children by now.,Should Statements,
"I feel stupid, so I am an idiot, and I'm ignoring my past smart decisions.",Emotional Reasoning,Mental Filter
"I didn't get first place, so my effort means nothing, and I never succeed.",Magnification or Minimization,Overgeneralization
"The performance review was excellent, but he mentioned punctuality, so I failed.",Mental Filter,
I ate a slice of cake; my diet is totally ruined.,All-or-Nothing Thinking,
"I look okay, but I have a pimple, so I'm ugly, and I'm embarrassing my date.",Mental Filter,Personalization
My son got sick; I'm a bad mother.,Personalization,
I never get selected for special projects.,Overgeneralization,
I burned the roast; I can't cook anything.,Overgeneralization,
"I feel anxious, so there is danger.",Emotional Reasoning,
The toast burned; I failed.,Personalization,
I feel bummed out that the weekend is already over.,No Distortion,
"I feel lonely, so I am an outcast.",Emotional Reasoning,
"I got the scholarship, but nobody else applied.",Disqualifying the Positive,
"She's looking away, so she's bored, and I'm a boring person.",Jumping to Conclusions,Labeling
"I feel hopeless, so it's over, and I'm filtering out any hope.",Emotional Reasoning,Mental Filter
"They are laughing; it's about me, because I feel so self-conscious.",Jumping to Conclusions,Emotional Reasoning
"I lost $5; I'm going bankrupt, and I'll starve to death.",Magnification or Minimization,Jumping to Conclusions
I tripped; I'm a total disaster.,Magnification or Minimization,
I regret saying those harsh words to my sister yesterday.,No Distortion,
"If I speak up, everyone will think I'm stupid.",Jumping to Conclusions,
"I feel anxious, so there is danger, and I'm filtering out the safety signs.",Emotional Reasoning,Mental Filter
"I look good, but it's the lighting, and I'm staring at my blemishes.",Disqualifying the Positive,Mental Filter
I'm overwhelmed by the mess in the garage.,No Distortion,
"I passed the test, but I missed one easy question, so I'm dumb.",Mental Filter,
"He hasn't called, so he must hate me, and guys always lose interest in me immediately.",Jumping to Conclusions,Overgeneralization
I burned the soup; I ruin every meal.,Overgeneralization,
My parents are fighting because of me.,Personalization,
I missed one cue; the play is a disaster.,All-or-Nothing Thinking,
"She complimented my dress, but she just wants to borrow it.",Disqualifying the Positive,
"I failed the math test, so I'll never understand numbers, and I'm stupid.",Overgeneralization,Labeling
"I am a slob, so my house is a pigsty, and it's a disaster.",Labeling,Magnification or Minimization
"I must never mess up, and this mistake means my career is over.",Should Statements,Jumping to Conclusions
"They hired him, so I never get picked, because I feel so inferior to everyone else.",Overgeneralization,Emotional Reasoning
"I feel rejected, so I am worthless.",Emotional Reasoning,
I should be more outgoing.,Should Statements,
"I got the grant, but nobody else applied.",Disqualifying the Positive,
"I am a burden, and everyone is always better off without me.",Labeling,Overgeneralization
"I passed the interview, but I stuttered once, so I failed, and I never speak well.",Mental Filter,Overgeneralization
I'm baffled by these new tax regulations.,No Distortion,
I am concerned about the rising cost of groceries; it's getting hard to budget.,No Distortion,
They are whispering over there; they must be gossiping about my outfit.,Jumping to Conclusions,
"We had a nice walk, but it was humid, so it was miserable, because I felt so sticky and gross.",Mental Filter,Emotional Reasoning
"I fixed the leak, but a pro would do better.",Disqualifying the Positive,
"I finished the task, but it wasn't hard.",Disqualifying the Positive,
I am a coward.,Labeling,
"If I don't get married by 30, my life is a total failure.",All-or-Nothing Thinking,
"She's whispering, so she's gossiping about me, and everyone hates me.",Jumping to Conclusions,All-or-Nothing Thinking
It rained on my wedding; I jinxed it.,Personalization,
He didn't text back; he hates me.,Jumping to Conclusions,
I feel skeptical about his sudden change in behavior.,No Distortion,
I'm frazzled trying to get the kids ready for school on time.,No Distortion,
"I finished the marathon, but my time was slow, so it doesn't count.",Disqualifying the Positive,
"The dinner was tasty, but the music was loud, so I hated the evening.",Mental Filter,All-or-Nothing Thinking
"I see a scratch, so the car is junk, and I should take better care of it.",Mental Filter,Should Statements
"If I don't get the highest grade, I'm a complete failure.",All-or-Nothing Thinking,
I am a burden.,Labeling,
"If I go, nobody will talk to me, and I'll make everyone uncomfortable.",Jumping to Conclusions,Personalization
I failed one test; I'll never pass this class.,Overgeneralization,
I should have anticipated this problem.,Should Statements,
She's looking at the clock; she wants to leave.,Jumping to Conclusions,
She's crying; I said something wrong.,Personalization,
"I must please everyone, or I am worthless.",Should Statements,All-or-Nothing Thinking
"The feedback was positive, but he noted a delay, so he hates my work.",Mental Filter,
"I feel rejected, so I am worthless.",Emotional Reasoning,
"I feel angry, so you must have provoked me.",Emotional Reasoning,
I tripped; everyone is laughing and I am a social pariah.,Magnification or Minimization,All-or-Nothing Thinking
"My son is smart, but he's messy, so he's a slob.",Mental Filter,
"I feel lonely, so I am unlovable.",Emotional Reasoning,
The flight is delayed; I jinxed it.,Personalization,
"My husband is sad; I upset him, and I should make him happy.",Personalization,Should Statements
"I know I'll freeze on stage, because I feel so terrified thinking about it.",Jumping to Conclusions,Emotional Reasoning
"I feel overwhelmed, so it's impossible, and I'm weak.",Emotional Reasoning,Labeling
"My partner is great, but he forgot the milk, so he's useless, and he ought to remember.",Mental Filter,Should Statements
I am a burden.,Labeling,
Life should be easy.,Should Statements,
I'm puzzled as to why the car won't start.,No Distortion,
"If the house isn't spotless, it's a pigsty, because I feel overwhelmed by this clutter.",All-or-Nothing Thinking,Emotional Reasoning
I feel lonely when I see couples holding hands in the park.,No Distortion,
"People should be on time, and his lateness means I'm not important to him.",Should Statements,Personalization
"She said 'okay', which means 'I hate it'.",Jumping to Conclusions,
"The party was fun, but the music was bad, so the whole night sucked.",Mental Filter,
"I feel stupid, so I am an idiot, and I should be smarter.",Emotional Reasoning,Should Statements
"I failed the quiz, so I'll never learn, and I'm wasting the teacher's time.",Overgeneralization,Personalization
"If I dance, everyone will laugh.",Jumping to Conclusions,
"This line is torture, and having a phone to distract me doesn't make it better.",Magnification or Minimization,Disqualifying the Positive
I regret spending that extra money on clothes when I should be saving for a car.,No Distortion,
I feel stung by his sarcastic comment.,No Distortion,
"I didn't finish the list, so I'm lazy, and I'm a procrastinator.",All-or-Nothing Thinking,Labeling
"I won the game, but it was just luck, because I'm only looking at my mistakes.",Disqualifying the Positive,Mental Filter
You're either my soulmate or you're a total stranger.,All-or-Nothing Thinking,
I am a burden.,Labeling,
"If I'm not the smartest person in the room, I'm the dumbest.",All-or-Nothing Thinking,
"I feel anxious, so there is danger, and I'm a chicken.",Emotional Reasoning,Labeling
"If I don't win first place, I'm a loser, and I'll never win anything ever again.",All-or-Nothing Thinking,Overgeneralization
"The party was fun, but I felt awkward, so the night was ruined, and I should be more social.",Mental Filter,Should Statements
I forgot the salt; I'm losing my memory.,Magnification or Minimization,
"My project was selected, but only because the other team dropped out.",Disqualifying the Positive,
I am a chicken.,Labeling,
"I won the prize, but it was just luck.",Disqualifying the Positive,
Total success or total failure; there is no middle ground.,All-or-Nothing Thinking,
"I won't get the loan, so why try, and my good credit score won't help.",Jumping to Conclusions,Disqualifying the Positive
"I am a failure, because I feel so defeated right now.",Labeling,Emotional Reasoning
The world should be fair.,Should Statements,
"My friends are great, but one of them cancelled, so they don't care, and people always let me down.",Mental Filter,Overgeneralization
"She's looking away, so she's bored, and her laughing at my joke earlier was just fake.",Jumping to Conclusions,Disqualifying the Positive
I forgot my wallet; I'm completely incompetent.,Magnification or Minimization,
I am a failure.,Labeling,
My parents fight because of me.,Personalization,
I am worried that my chronic back pain is getting worse with age.,No Distortion,
"I feel rejected, so I am worthless.",Emotional Reasoning,
"I am a burden, and everyone would be happier without me.",Labeling,Personalization
She's frowning; I must have offended her.,Personalization,
"I should handle this alone, but I can't, and I always need help.",Should Statements,Overgeneralization
"I am weak, and I'm completely defenseless.",Labeling,Magnification or Minimization
"I see a scratch, so the car is junk, and I'm responsible for ruining our investment.",Mental Filter,Personalization
"My painting sold, but the buyer has bad taste.",Disqualifying the Positive,
"I feel ugly, so I am hideous, and I'll be single forever.",Emotional Reasoning,Jumping to Conclusions
"I am a bad mother, because I feel so guilty for yelling.",Labeling,Emotional Reasoning
"Unless everyone likes me, I'm worthless, because if they don't, it's my fault.",All-or-Nothing Thinking,Personalization
"I feel unlovable, so nobody could ever love me.",Emotional Reasoning,
She didn't laugh; people have no sense of humor these days.,Overgeneralization,
"I am a coward, so I'll never achieve my dreams.",Labeling,Jumping to Conclusions
"We had a nice walk, but it was humid, so it was miserable, and the beautiful view didn't make up for the sweat.",Mental Filter,Disqualifying the Positive
I am a bad person.,Labeling,
She's whispering; she's gossiping about me.,Jumping to Conclusions,
"I saved money, but not enough, so I'm poor, and I'm a spendthrift.",Disqualifying the Positive,Labeling
"If I don't finish this today, I've accomplished nothing.",All-or-Nothing Thinking,
She's checking her reflection; she thinks she's better than me.,Jumping to Conclusions,
"He frowned, so he's angry, and he shouldn't be mad at me.",Jumping to Conclusions,Should Statements
"I got the job, but they were desperate.",Disqualifying the Positive,
"I feel unlovable, so I will be alone forever.",Emotional Reasoning,
"My partner is wonderful, but he forgot to take out the trash, so he's inconsiderate.",Mental Filter,
I must never cry.,Should Statements,
"I won't get the loan, so why try, focusing only on the high interest rates.",Jumping to Conclusions,Mental Filter
"I am a toxic person, and I should be kinder.",Labeling,Should Statements
"The dinner was delicious, but the service was slow, so I hated it.",Mental Filter,
"Every time I plan a trip, something goes wrong.",Overgeneralization,
"I lost $10; I'm going bankrupt, and I'll never have money.",Magnification or Minimization,Overgeneralization
"My parents divorced because of me, and their incompatibility is just an excuse.",Personalization,Disqualifying the Positive
Men always leave me.,Overgeneralization,
I am spent after taking care of my sick toddler all weekend.,No Distortion,
I gained two pounds; I'm a whale.,Magnification or Minimization,
"I should have known, and my learning from it doesn't count.",Should Statements,Disqualifying the Positive
"I feel stupid, so I am dumb.",Emotional Reasoning,
"She said 'fine', which means she hates it.",Jumping to Conclusions,
I got a B; I'm an academic failure.,Magnification or Minimization,
I lost a dollar; I'm going to be poor.,Magnification or Minimization,
"I see a scratch on the lens, so these glasses are garbage.",Mental Filter,
"The feedback was glowing, but they mentioned one improvement, so I failed.",Mental Filter,
"He bought me a gift, but he probably just wants something from me.",Disqualifying the Positive,
I lost a receipt; I'm going to be audited.,Magnification or Minimization,
"I ate a slice of pizza; my diet is destroyed, and I'll never be able to lose weight.",All-or-Nothing Thinking,Overgeneralization
I feel apprehensive about asking for a raise in this economy.,No Distortion,
"He hasn't called, so he hates me, and I'm unlovable.",Jumping to Conclusions,Labeling
I feel self-conscious about the stain on my shirt.,No Distortion,
"I feel tired, so I am lazy.",Emotional Reasoning,
"He was rude, so everyone is mean, because I feel so attacked by the world.",Overgeneralization,Emotional Reasoning
"She rejected me, so nobody wants me, and I'm a lonely loser.",Overgeneralization,Labeling
I have a bruise; I look like I've been in a fight.,Magnification or Minimization,
"All men are cheaters, because I'm fixated on my ex and ignoring the faithful men I know.",Overgeneralization,Mental Filter
I spilled coffee on my shirt; the entire meeting is ruined.,Magnification or Minimization,All-or-Nothing Thinking
"I feel stupid, so I have a low IQ.",Emotional Reasoning,
"He loves me, but he doesn't know the real me, and I'm fixated on my hidden flaws.",Disqualifying the Positive,Mental Filter
I am a chicken.,Labeling,
The boss is frowning; I'm getting fired.,Jumping to Conclusions,
I feel skeptical about that politician's promises.,No Distortion,
"I solved the puzzle, but it took too long, so I'm slow, and I always lag behind everyone else.",Disqualifying the Positive,Overgeneralization
"I have a pimple; I look like a monster, and I ought to wash my face more.",Magnification or Minimization,Should Statements
"If I wear this, everyone will stare.",Jumping to Conclusions,
"I got a ticket, so I'm always in trouble, because I feel so guilty all the time.",Overgeneralization,Emotional Reasoning
"I missed the gym today, so I'm a lazy slob, and I'm going to get fat immediately.",All-or-Nothing Thinking,Jumping to Conclusions
He looks sad; I made him unhappy.,Personalization,
"He brought me coffee, but he's probably trying to apologize for something.",Disqualifying the Positive,
"My performance was trash because I stuttered, and I should never make mistakes.",All-or-Nothing Thinking,Should Statements
He didn't smile; he's furious.,Jumping to Conclusions,
I feel disappointed that the concert was cancelled.,No Distortion,
"I should have known, because I feel so stupid for not seeing it.",Should Statements,Emotional Reasoning
"I know I'll freeze on stage, and it will be the biggest humiliation of my life.",Jumping to Conclusions,Magnification or Minimization
"I am a loser, and winning that one time was just luck.",Labeling,Disqualifying the Positive
"I lost $5; I'm going bankrupt, because I feel so panicked about money.",Magnification or Minimization,Emotional Reasoning
"I finished the task, but it was easy, so it doesn't count, and I should do harder work.",Disqualifying the Positive,Should Statements
"If I don't get an A, I'm a failure, and my entire academic career is destroyed.",All-or-Nothing Thinking,Magnification or Minimization
"I finished the job, but it was an easy task.",Disqualifying the Positive,
"If I enter the room, everyone will stop talking.",Jumping to Conclusions,
"She said I'm smart, but she's just being nice, so I'm actually an idiot.",Disqualifying the Positive,All-or-Nothing Thinking
"If I'm not wealthy, I'm destitute.",All-or-Nothing Thinking,
People should always be on time.,Should Statements,
"The world should be fair, and this injustice means the system is out to get me.",Should Statements,Jumping to Conclusions
"I was late; I've destroyed my reputation, and I'll be fired.",Magnification or Minimization,Jumping to Conclusions
"I saved $50, but that's nothing.",Disqualifying the Positive,
"I feel bored, so life is dull, and nothing good ever happens.",Emotional Reasoning,Overgeneralization
"I should be thinner, but I'm fat, and I'll never have self-control.",Should Statements,Overgeneralization
I missed one rehearsal; the play is going to be a disaster.,All-or-Nothing Thinking,
People should be on time.,Should Statements,
I just know I'm going to forget my lines.,Jumping to Conclusions,
"It rained on my wedding; I jinxed it, and our marriage is doomed.",Personalization,Jumping to Conclusions
"I am a fraud, and my credentials don't mean anything.",Labeling,Disqualifying the Positive
I feel disappointed that the dress I ordered doesn't fit right.,No Distortion,
"I ought to be rich by now; since I'm not, I'm a loser.",Should Statements,All-or-Nothing Thinking
"He frowned, so he's angry, and I must have done something wrong.",Jumping to Conclusions,Personalization
"She's looking away, so she's bored, and I am unbearably dull.",Jumping to Conclusions,Magnification or Minimization
I spilled milk; this is a tragedy.,Magnification or Minimization,
"She said 'we'll see', which definitely means 'no'.",Jumping to Conclusions,
"I am a toxic person, so I deserve to be completely alone.",Labeling,All-or-Nothing Thinking
My son failed; it's my fault.,Personalization,
I forgot a name; I'm going senile.,Magnification or Minimization,
"I must never mess up, and this error is the end of my career.",Should Statements,Magnification or Minimization
"I got a raise, but taxes took some, so it's nothing, and the extra money doesn't help.",Mental Filter,Disqualifying the Positive
Either everyone loves me or I am unlovable.,All-or-Nothing Thinking,Labeling
"I feel rejected, so I am defective.",Emotional Reasoning,
